province,city,type,kode_faskes,NamaFaskes,gmap_url,address,telephone,lat,lng
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B012,Klinik Aa Sehat,"http://maps.google.co.id/?q=4.477337,97.971897","Jendral Sudirman, Dsn I",0641-4841184,4.477337,97.971897
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B013,Klinik Keluarga,"http://maps.google.co.id/?q=4.47568097,97.968141","Jln. Syiah Kuala, No. 64",0641-4841856,4.47568097,97.968141
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001B014,"BP dr. Syarifah Rina M, M.Kes","http://maps.google.co.id/?q=4.466246,97.986681","Jl. Agussalim, No. 20 ",0812-63908875,4.466246,97.986681
Nanggroe Aceh Darussalam,Kota Langsa,Klinik Pratama,0001U003,Klinik Ramala,"http://maps.google.co.id/?q=4.465487,97.977981",Jl. Lilawangsa No. 5 Langsa,0852-61944344,4.465487,97.977981
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Rumah Sakit,0002R001,RSUD Gayo Lues,"http://maps.google.co.id/?q=4.0056845,97.3679242",Jl. Pangur-Sangir,0642-21633,4.0056845,97.3679242
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,00020602,Pintu Rime Uring,"http://maps.google.co.id/?q=4.059445,97.463333",Pintu Rime,85296705897,4.059445,97.463333
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,00020902,Rerebe,"http://maps.google.co.id/?q=4.005921,97.363502",Dusun Ume Paya,081369381036,4.005921,97.363502
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,00020903,Da Bu Glang,"http://maps.google.co.id/?q=4.058334,97.356553",Tetukah,85210414311,4.058334,97.356553
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,00021003,Blang Jerango,"http://maps.google.co.id/?q=4.016129,97.26588",Gumpang,81260487002,4.016129,97.26588
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,00021101,Cinta Maju,"http://maps.google.co.id/?q=3.973862,97.316162",Desa Umelah Kec. Blangpegayon,085270306044,3.973862,97.316162
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,01130601,Blang Kejeren Galus,"http://maps.google.co.id/?q=3.996378,97.33819",Jl.Blangkejeren-Kutapanjang ,081262310139,3.996378,97.33819
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,01130603,Pinding,"http://maps.google.co.id/?q=3.895791,97.678041",Pinding,85260261596,3.895791,97.678041
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,01130701,Kuta Panjang,"http://maps.google.co.id/?q=4.018231,97.279522",Jl.H.Djaka No -,08116886363,4.018231,97.279522
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,01130801,Rikit Gaib,"http://maps.google.co.id/?q=4.104433,97.255153",Jl. Blangkejeren-Takengon Km.2,081362173425,4.104433,97.255153
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,01130802,Kenyaren,"http://maps.google.co.id/?q=4.213911,97.17589",Jl. Blangkejeren-Takengon Km.3,085270758979,4.213911,97.17589
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Puskesmas,01130901,Terangon,"http://maps.google.co.id/?q=4.07936,97.06615",Terangon,081360891958,4.07936,97.06615
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Utama,0002U001,dr. Eka Puspita Sari,"http://maps.google.co.id/?q=3.997087,97.341683",Jl.Kutalintang No.162,08114710817,3.997087,97.341683
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Utama,0002U003,dr. Junaidi,"http://maps.google.co.id/?q=4.016536,97.277477",Jalan Terangun Blangkejeren No,81360292006,4.016536,97.277477
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Utama,0002U004,dr. Andy Saputra,"http://maps.google.co.id/?q=4.016536,97.277477",Jln. Pining,0811602710,4.016536,97.277477
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Utama,0002U005,dr. Rendra Gustian Siregar,"http://maps.google.co.id/?q=3.9762538,97.346896",Jl. Blangkeujeren Kuta Cane,081397231984,3.9762538,97.346896
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Pratama,00020001,Poskes Gayo Lues,"http://maps.google.co.id/?q=3.993187,97.339353",Jl. Mayor Bahrin ,085296660745,3.993187,97.339353
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Pratama,00020002,Poliklinik Polres Gayo Lues,"http://maps.google.co.id/?q=3.999011,97.332875",Blang Kajeren,085286171391,3.999011,97.332875
Nanggroe Aceh Darussalam,Kab. Gayo Lues,Klinik Pratama,0002B001,Klinik Syahna,"http://maps.google.co.id/?q=3.9640298,97.3496949",Jl. Blangkeujeren Kuta Cane,081360061167,3.9640298,97.3496949
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Rumah Sakit,0110R001,RSUD Dr.H.Yuliddin Away,"http://maps.google.co.id/?q=3.2787678,97.1545012",Jln. T. Ben Mahmud No. 86A,0656-21013,3.2787678,97.1545012
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,00030002,Kampong Paya,"http://maps.google.co.id/?q=3.111916,97.368642",Desa Kampong Paya,085277360582,3.111916,97.368642
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,00030023,Bukit Gadeng,"http://maps.google.co.id/?q=2.978997,97.508766",Desa Bukit Gadeng,085260798415,2.978997,97.508766
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,00030024,Krueng Luas,"http://maps.google.co.id/?q=2.865866,97.746151",Desa Kreung Luas,0813-081362262,2.865866,97.746151
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,00030027,Kuala Ba`U,"http://maps.google.co.id/?q=3.084216,97.314812",Jl.Tgk.Syam Kuala Ba'U,085270895864,3.084216,97.314812
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,00030028,Drien Jalo,"http://maps.google.co.id/?q=3.483045,97.0681",Drien Jalo,'08527513643,3.483045,97.0681
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,00030103,Kluet Timur,"http://maps.google.co.id/?q=3.098422,97.384133",Paya Dapur,08236946843,3.098422,97.384133
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01100501,Labuhan Haji,"http://maps.google.co.id/?q=3.549203,97.002597",Desa Manggis Harapan,,3.549203,97.002597
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01100502,Blang Kejeren,"http://maps.google.co.id/?q=3.576485,96.974188",Desa Kuta Trieng,085277467718,3.576485,96.974188
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01100503,Peulumat,"http://maps.google.co.id/?q=3.503824,97.032291",Peulumat Kec. Lab.Haji Timur,085260413202,3.503824,97.032291
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01100601,Meukek,"http://maps.google.co.id/?q=3.458692,97.058024",Kuta Baro Kec.Meukek,,3.458692,97.058024
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01100701,Samadua,"http://maps.google.co.id/?q=3.308594,97.147838",Jilatang Kec.Samadua,0813-081360446,3.308594,97.147838
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01100704,Durian Kawan,"http://maps.google.co.id/?q=3.08626,97.37727",Durian Kawan Kec.Kluet Timur,082236802660,3.08626,97.37727
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01100801,Kandang,"http://maps.google.co.id/?q=3.055117,97.325284",Suak Bakong Kec. Kluet Selatan,081263338087,3.055117,97.325284
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01100901,Bakongan,"http://maps.google.co.id/?q=2.926797,97.484201",Keude Bakongan Kec.Bakongan,05270891702,2.926797,97.484201
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01100902,Seubadeh,"http://maps.google.co.id/?q=2.898906,97.17684",Seubadeh Kec. Bakongan Timur,0812-081263204,2.898906,97.17684
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01101301,Sawang,"http://maps.google.co.id/?q=3.398045,97.09567",Desa Meligo Kec.Sawang,0852-085260171,3.398045,97.09567
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01101401,Trumon,"http://maps.google.co.id/?q=2.828779,97.625558",T. Raja Husen,'08126975103,2.828779,97.625558
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01101402,Ladang Rimba,"http://maps.google.co.id/?q=2.892676,97.652764",Desa L. Rimba Kec. Trumon Tim.,08136226213,2.892676,97.652764
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01101501,Tapaktuan,"http://maps.google.co.id/?q=3.275357,97.162142",Air Berudang Kec. Tapaktuan,0813-081377162,3.275357,97.162142
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01101502,Lhok Bengkuang,"http://maps.google.co.id/?q=3.258727,97.197131",Jl. T. Cut Ali No 221,0853-085361767,3.258727,97.197131
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01101701,Kluet Utara,"http://maps.google.co.id/?q=3.094085,97.34063",Kota Fajar Kec. Kluet Utara,085276293886,3.094085,97.34063
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01101702,Ladang Tuha,"http://maps.google.co.id/?q=3.194183,97.280198",Ladang Tuha Kec. Pasie Raja,085260740375,3.194183,97.280198
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Puskesmas,01101703,Manggamat,"http://maps.google.co.id/?q=3.207703,97.374239",Manggamat Kec. Kluet Tengah,085277221050,3.207703,97.374239
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Utama,0003U006,Dr.ZULFANSYAH,"http://maps.google.co.id/?q=3.252817,97.17684",Jl. T.Ben Mahmud No 06,081362907772,3.252817,97.17684
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,00030029,POSKES IM 10.05 Asel,"http://maps.google.co.id/?q=3.257627,97.186255",Jl. Cut Nyak Dhien,082360870452,3.257627,97.186255
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,00030030,Tonkes Yonif 115/Ml,"http://maps.google.co.id/?q=3.14081,97.31201",Jl. Ujung Padang Asahan,081215513656,3.14081,97.31201
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,00030031,Urkes Polres A.Selatan,"http://maps.google.co.id/?q=3.261061,97.194625",T Cut Ali No. 147,081376698669,3.261061,97.194625
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,0003B001,Klinik Nadira,"http://maps.google.co.id/?q=3.468088,97.036105",Jln. Nasional,0812-081265462,3.468088,97.036105
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,0003B002,Klinik Sehat Pala Medika,"http://maps.google.co.id/?q=3.327584,97.127446",Jl. Tapaktuan - Abdya,085277445623,3.327584,97.127446
Nanggroe Aceh Darussalam,Kab. Aceh Selatan,Klinik Pratama,0003B003,Klinik Humaira,"http://maps.google.co.id/?q=3.257759,97.127472",Jl. H. Habib M. Syarif,0852-085260300,3.257759,97.127472
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Rumah Sakit,0004R001,RSU Nurul Hasanah,"http://maps.google.co.id/?q=3.496266,97.808589",A.Yani No. 23 Pulo Kemiri ,0629-522561,3.496266,97.808589
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Rumah Sakit,0106R001,Rsudh Sahudin Kutacane,"http://maps.google.co.id/?q=3.647735,97.691404",Jl.Kutacane-Blangkejeren Km.3,0629-21676,3.647735,97.691404
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00040001,Tanoh Alas,"http://maps.google.co.id/?q=3.28405,97.97339",Jl Ngkeran Salim Pipit,08227111888,3.28405,97.97339
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00040002,Deleng Pokhisen,"http://maps.google.co.id/?q=3.511924,97.818278",Desa Beriring Naru,082166947654,3.511924,97.818278
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00040003,Louser,"http://maps.google.co.id/?q=3.11995,97.96338",Jl. Gajah Mati Km. 10 Tj. Sari,062921473,3.11995,97.96338
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00040004,Engkeran,"http://maps.google.co.id/?q=3.42574,97.82549",Jl Engkeran Salim Pipit,064100000,3.42574,97.82549
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00040005,Naga Timbul,"http://maps.google.co.id/?q=3.096219,97.963477",Jl. Liang Pangi,081361199555,3.096219,97.963477
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00040202,Lawe Perbunga,"http://maps.google.co.id/?q=3.29832,97.95735",Jl Kutacane Medan Km 30,081361101001,3.29832,97.95735
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00040401,Kota Kutacane,"http://maps.google.co.id/?q=3.48629,97.81007",Jl Ananas Desa Pulonas No 8,081262528578,3.48629,97.81007
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00040503,Lawe Sumur,"http://maps.google.co.id/?q=3.32571,97.88909",Jl Kelapa Gading Lawe Sumur,085373100655,3.32571,97.88909
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00041001,Mamas,"http://maps.google.co.id/?q=3.55585,97.7644",Panglima Bedul,085262668063,3.55585,97.7644
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,00041002,Lawe Dua,"http://maps.google.co.id/?q=3.42632,97.88005",Jl Bandara Alas Leuser,85371525345,3.42632,97.88005
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,01060102,Uning Sigur-Gur,"http://maps.google.co.id/?q=3.333,97.8969",Aceh Tenggara,062921473,3.333,97.8969
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,01060201,Lawe Sigala-Gala,"http://maps.google.co.id/?q=3.35033,97.91767",Aceh Tenggara,0629-852611011,3.35033,97.91767
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,01060203,Gur-Gur Pordomuan,"http://maps.google.co.id/?q=3.29867,97.93854",Aceh Tenggara,81264033941,3.29867,97.93854
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,01060301,Biak Muli,"http://maps.google.co.id/?q=3.44316,97.83617",Aceh Tenggara,085361662345,3.44316,97.83617
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,01060302,Suka Makmur,"http://maps.google.co.id/?q=3.39152,97.90646",Jalan Lawe Beringin Horas Sema,0629-24678,3.39152,97.90646
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,01060402,Kutambaru,"http://maps.google.co.id/?q=3.48513,97.83561",Jl Kutambaru,082360345021,3.48513,97.83561
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,01060501,Natam,"http://maps.google.co.id/?q=3.56335,97.99015",Kutacane-Blangkejeren Km 10,81360756279,3.56335,97.99015
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Puskesmas,01060502,Jambur Lak-Lak,"http://maps.google.co.id/?q=3.64224,97.69628",Kutacane Blangkejeren Km 25,082360384150,3.64224,97.69628
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Utama,0004U006,dr. Ade Eka Kustiana,"http://maps.google.co.id/?q=3.478117,97.814604",Jalan Medan Kutacane,0852-43009095,3.478117,97.814604
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Utama,0004U009,dr. Laila Molisa,"http://maps.google.co.id/?q=3.504981,97.820336",Desa Muhajirin,0812-6400554,3.504981,97.820336
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Pratama,00040006,Poskes Tni 10.02 Kutacane,"http://maps.google.co.id/?q=3.485397,97.811254",Jl. Cut Nyak Dhien,085260984244,3.485397,97.811254
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Pratama,00040007,Paur Kes Polres Aceh Tenggara,"http://maps.google.co.id/?q=3.481097,97.807148",Jln. Ahmad Yani,0629-523244,3.481097,97.807148
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Pratama,0004B001,BP Ar-Rahman,"http://maps.google.co.id/?q=3.44229,97.86468",Jalan Kuning I Kec. Bambel,0813-60972821,3.44229,97.86468
Nanggroe Aceh Darussalam,Kab. Aceh Tenggara,Klinik Pratama,0004B002,Bp. Liza Medica,"http://maps.google.co.id/?q=3.474075,97.818928",Jalan Iskandar Muda No.30,0853-58991544,3.474075,97.818928
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Rumah Sakit,0005R003,RSUD dr. Zubir Mahmud,"http://maps.google.co.id/?q=4.961196,97.76267",Jalan Banda Aceh - Medan Km.37,0646-21139,4.961196,97.76267
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Rumah Sakit,0005R004,RSUD Sultan Abdul Aziz Syah,"http://maps.google.co.id/?q=4.809238,97.893268",Jl. Medan Banda Aceh,0646-31008,4.809238,97.893268
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Rumah Sakit,0005R005,Graha Bunda,"http://maps.google.co.id/?q=4.957069,97.762892",Jl Medan Banda Aceh,0646-21221,4.957069,97.762892
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050001,Peureulak Barat,"http://maps.google.co.id/?q=4.8649,97.8758","Jln Medan B.Aceh , Km 385",082165577920,4.8649,97.8758
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050003,Darul Ihsan,"http://maps.google.co.id/?q=4.92955,97.75853",Jln. Padang Peutuali,0852-60292170,4.92955,97.75853
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050004,Darul Falah,"http://maps.google.co.id/?q=5.012631,97.633966",Jln.Ulee Gajah,0852-46465656,5.012631,97.633966
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050005,Idi Timur,"http://maps.google.co.id/?q=4.797856,97.891619",Jl. Medan Banda Aceh,0822-64718597,4.797856,97.891619
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050101,Simpang Ulim,"http://maps.google.co.id/?q=5.10581,97.53301",Simpang Ulim,0646-41624,5.10581,97.53301
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050201,Julok,"http://maps.google.co.id/?q=5.06721,97.59485",Jln. Medan_ Banda Aceh.,0852-75377124,5.06721,97.59485
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050202,Perkebunan Inti,"http://maps.google.co.id/?q=4.92091,97.59097",Dusun Al Mujahid,085270854554,4.92091,97.59097
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050203,Alue Ie Mirah,"http://maps.google.co.id/?q=4.92091,97.59097", Jln. Kuta Binjei- Ptp I,081361316600,4.92091,97.59097
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050301,Nurussalam,"http://maps.google.co.id/?q=4.9771,97.66364",Jln Ulee Ateng-Bagok Desa Mtg ,85262627118,4.9771,97.66364
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050401,Darul Aman,"http://maps.google.co.id/?q=4.79828,96.94093",Jln Medan Banda Aceh Gp Keude ,08126395893,4.79828,96.94093
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050501,Idi Rayeuk,"http://maps.google.co.id/?q=4.94441,97.78202",Jln. Banda Aceh - Medan Km.375,082370114978,4.94441,97.78202
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050601,Peureulak,"http://maps.google.co.id/?q=4.9066,97.74432", Jln Medan - B.Aceh Desa Alue ,85261653780,4.9066,97.74432
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050701,Rantau Selamat,"http://maps.google.co.id/?q=4.04691,96.43722",jl. Medan-B. Aceh KM. 16,0823 6910 4501,4.04691,96.43722
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050702,Sungai Raya,"http://maps.google.co.id/?q=4.66751,97.92323", Jalan Medan- Banda Aceh Km 27,0811672499,4.66751,97.92323
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050902,Idi Tunong,"http://maps.google.co.id/?q=4.92167,97.72494",Jln Titi Ayon. Buket Teukuh ,,4.92167,97.72494
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050903,Peudawa,"http://maps.google.co.id/?q=4.88303,97.80758",Jln Medan-Banda Aceh,085261046528,4.88303,97.80758
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00050904,Peureulak Timur,"http://maps.google.co.id/?q=4.71176,97.90005",Jln. Medan-B.Aceh Alue Lhok,0852-77524166,4.71176,97.90005
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00051901,Birem Bayeun,"http://maps.google.co.id/?q=4.53267,97.9474",Jl. Medan-B.Aceh Keude Birem,085361856867,4.53267,97.9474
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,00051902,Simpang Jernih,"http://maps.google.co.id/?q=4.32787,97.75736", Jln Buntul Gayo Simpang Jerni,0646-813626547,4.32787,97.75736
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,01050102,Matang Pudeng,"http://maps.google.co.id/?q=5.08922,97.49214",Desa Matang Pudeng,81360061055,5.08922,97.49214
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,01050103,Madat,"http://maps.google.co.id/?q=5.10722,97.51558",:Jln Sp Ulim Paya Naden,085262512075,5.10722,97.51558
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,01050104,Pante Bidari,"http://maps.google.co.id/?q=5.0614,97.52061",Desa Meunasah Tunong,085260652727,5.0614,97.52061
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,01050502,Keude Gerobak,"http://maps.google.co.id/?q=4.90754,97.69653",Jln.Idi -Alue Ie Mirah Desa Pa,85276351808,4.90754,97.69653
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,01051601,Lokop,"http://maps.google.co.id/?q=4.41929,97.42379",Jln Peunaron - Belang Kejeren,85276131835,4.41929,97.42379
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,01051602,Peunaron,"http://maps.google.co.id/?q=4.58414,97.67724",Jalan Perlak - Lokop,85261010631,4.58414,97.67724
Nanggroe Aceh Darussalam,Kab. Aceh Timur,Puskesmas,01051701,Rantau Peureulak,"http://maps.google.co.id/?q=4.80555,97.82304", Jln. Peunarun,085260619923,4.80555,97.82304
